,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,site_name,lat,lon
56,2023-06-04 22:00:00+00:00,0.044578023,0.044,0.040358093,0.03886897,0.0379871,0.03635005,0.03672103,0.03650731,0.03541659,Five Points,39.751184,-104.987625
57,2023-06-04 23:00:00+00:00,0.04079688,0.043,0.04138265,0.03794754,0.036746882,0.03600081,0.034653053,0.034958337,0.034787685,Five Points,39.751184,-104.987625
58,2023-06-05 00:00:00+00:00,0.040177397,0.046,0.038083218,0.038546573,0.035817057,0.034825824,0.03422154,0.033128712,0.033370744,Five Points,39.751184,-104.987625
59,2023-06-05 01:00:00+00:00,0.042223494,0.044,0.036530785,0.034961745,0.035322726,0.033066947,0.03226628,0.031768396,0.030879958,Five Points,39.751184,-104.987625
60,2023-06-05 02:00:00+00:00,0.038431548,0.038,0.036662523,0.032315522,0.031179842,0.031465806,0.029718027,0.029072724,0.02867449,Five Points,39.751184,-104.987625
61,2023-06-05 03:00:00+00:00,0.03291646,0.024000000000000004,0.033327546,0.03197938,0.028731102,0.027851652,0.028073883,0.026682178,0.02616829,Five Points,39.751184,-104.987625
62,2023-06-05 04:00:00+00:00,0.021103477,0.021,0.029115953,0.029428078,0.028399669,0.025813121,0.02511976,0.025299536,0.024172502,Five Points,39.751184,-104.987625
63,2023-06-05 05:00:00+00:00,0.020410862,0.015,0.020499235,0.026279286,0.026516458,0.025694069,0.023662748,0.023107897,0.023251377,Five Points,39.751184,-104.987625
64,2023-06-05 06:00:00+00:00,0.014969826,0.012,0.019554473,0.019616814,0.023930892,0.024121456,0.023471415,0.0218349,0.021385984,Five Points,39.751184,-104.987625
65,2023-06-05 07:00:00+00:00,0.012587216,0.007000000000000001,0.015010115,0.01818956,0.01823558,0.021685619,0.02183595,0.021314973,0.01999507,Five Points,39.751184,-104.987625
66,2023-06-05 08:00:00+00:00,0.008504447,0.007702127659574468,0.012996866,0.014611969,0.0169063,0.016942844,0.019634627,0.019754095,0.019338867,Five Points,39.751184,-104.987625
67,2023-06-05 09:00:00+00:00,0.008753505,0.008404255319148936,0.009389751,0.012237314,0.01336123,0.015160006,0.01518833,0.017312383,0.017406303,Five Points,39.751184,-104.987625
68,2023-06-05 10:00:00+00:00,0.009034774,0.009106382978723404,0.009316118,0.009698952,0.011550002,0.012398962,0.013745773,0.013767487,0.0153719345,Five Points,39.751184,-104.987625
69,2023-06-05 11:00:00+00:00,0.008782647,0.009808510638297872,0.008725302,0.008893456,0.009133841,0.010513009,0.011144227,0.012167094,0.0121832285,Five Points,39.751184,-104.987625
70,2023-06-05 12:00:00+00:00,0.009775252,0.01051063829787234,0.008947454,0.008914459,0.009014961,0.009188179,0.010192738,0.010667089,0.011407801,Five Points,39.751184,-104.987625
71,2023-06-05 13:00:00+00:00,0.011189514,0.011212765957446809,0.010595004,0.010128944,0.010109729,0.01018121,0.010308271,0.011078875,0.011427941,Five Points,39.751184,-104.987625
72,2023-06-05 14:00:00+00:00,0.014377582,0.011914893617021277,0.014358447,0.014028694,0.013765982,0.013752574,0.013804678,0.013902999,0.014472405,Five Points,39.751184,-104.987625
73,2023-06-05 15:00:00+00:00,0.017790062,0.012617021276595745,0.01994875,0.019937288,0.019747563,0.019562803,0.019553028,0.019593203,0.0196653,Five Points,39.751184,-104.987625
74,2023-06-05 16:00:00+00:00,0.019913439,0.013319148936170214,0.024127888,0.025449963,0.025442885,0.025305483,0.025170734,0.025163358,0.02519164,Five Points,39.751184,-104.987625
75,2023-06-05 17:00:00+00:00,0.02137548,0.014021276595744682,0.027018823,0.029623117,0.03043921,0.030434318,0.030339308,0.03024462,0.03023991,Five Points,39.751184,-104.987625
76,2023-06-05 18:00:00+00:00,0.021820394,0.01472340425531915,0.028737018,0.032554127,0.03422938,0.0347819,0.034778737,0.03471945,0.034669295,Five Points,39.751184,-104.987625
77,2023-06-05 19:00:00+00:00,0.023147052,0.015425531914893618,0.029299041,0.034014743,0.036611266,0.037776176,0.038137477,0.038135614,0.038110033,Five Points,39.751184,-104.987625
78,2023-06-05 20:00:00+00:00,0.020648248,0.016127659574468087,0.028420568,0.032978673,0.03638029,0.03827977,0.03908007,0.03931032,0.03930943,Five Points,39.751184,-104.987625
79,2023-06-05 21:00:00+00:00,0.021115968,0.016829787234042555,0.025319532,0.031242196,0.03473348,0.037236057,0.03854524,0.039071318,0.039187755,Five Points,39.751184,-104.987625
80,2023-06-05 22:00:00+00:00,0.021025624,0.017531914893617023,0.024663877,0.027625652,0.032090973,0.034771483,0.03665084,0.037626483,0.03798573,Five Points,39.751184,-104.987625
81,2023-06-05 23:00:00+00:00,0.019382188,0.01823404255319149,0.022317221,0.02487779,0.027206184,0.030818412,0.032928612,0.03447405,0.03525992,Five Points,39.751184,-104.987625
82,2023-06-06 00:00:00+00:00,0.01820384,0.01893617021276596,0.019167868,0.021191083,0.023209583,0.025197418,0.02825516,0.030084696,0.031424623,Five Points,39.751184,-104.987625
