OID_,Id,latitude,longitude
87,0,39.3078995,-104.5970001
88,0,39.3078995,-104.5660019
89,0,39.3078995,-104.5350037
90,0,39.3078995,-104.5039978
91,0,39.3078995,-104.4729996
92,0,39.3078995,-104.4420013
93,0,39.3078995,-104.4110031
94,0,39.3078995,-104.3799973
95,0,39.3078995,-104.3489990
96,0,39.3078995,-104.3180008
97,0,39.3387985,-105.7720032
98,0,39.3387985,-105.7409973
99,0,39.3387985,-105.7099991
100,0,39.3387985,-105.6790009
101,0,39.3387985,-105.6480026
102,0,39.3387985,-105.6169968
103,0,39.3387985,-105.5859985
104,0,39.3387985,-105.5550003
105,0,39.3387985,-105.5240021
106,0,39.3387985,-105.4929962
107,0,39.3387985,-105.4619980
108,0,39.3387985,-105.4319992
109,0,39.3387985,-105.4010010
110,0,39.3387985,-105.3700027
111,0,39.3387985,-105.3389969
112,0,39.3387985,-105.3079987
113,0,39.3387985,-105.2770004
114,0,39.3387985,-105.2460022
115,0,39.3387985,-105.2149963
116,0,39.3387985,-105.1839981
117,0,39.3387985,-105.1529999
118,0,39.3387985,-105.1220016
119,0,39.3387985,-105.0910034
120,0,39.3387985,-105.0599976
121,0,39.3387985,-105.0289993
122,0,39.3387985,-104.9990005
123,0,39.3387985,-104.9680023
124,0,39.3387985,-104.9369965
125,0,39.3387985,-104.9059982
126,0,39.3387985,-104.8750000
127,0,39.3387985,-104.8440018
128,0,39.3387985,-104.8130035
129,0,39.3387985,-104.7819977
130,0,39.3387985,-104.7509995
131,0,39.3387985,-104.7200012
132,0,39.3387985,-104.6890030
133,0,39.3387985,-104.6579971
134,0,39.3387985,-104.6269989
135,0,39.3387985,-104.5970001
136,0,39.3387985,-104.5660019
137,0,39.3387985,-104.5350037
138,0,39.3387985,-104.5039978
139,0,39.3387985,-104.4729996
140,0,39.3387985,-104.4420013
141,0,39.3387985,-104.4110031
142,0,39.3387985,-104.3799973
143,0,39.3387985,-104.3489990
144,0,39.3387985,-104.3180008
145,0,39.3697014,-105.7720032
146,0,39.3697014,-105.7409973
147,0,39.3697014,-105.7099991
148,0,39.3697014,-105.6790009
149,0,39.3697014,-105.6480026
150,0,39.3697014,-105.6169968
151,0,39.3697014,-105.5859985
152,0,39.3697014,-105.5550003
153,0,39.3697014,-105.5240021
154,0,39.3697014,-105.4929962
155,0,39.3697014,-105.4619980
156,0,39.3697014,-105.4319992
157,0,39.3697014,-105.4010010
158,0,39.3697014,-105.3700027
159,0,39.3697014,-105.3389969
160,0,39.3697014,-105.3079987
161,0,39.3697014,-105.2770004
162,0,39.3697014,-105.2460022
163,0,39.3697014,-105.2149963
164,0,39.3697014,-105.1839981
165,0,39.3697014,-105.1529999
166,0,39.3697014,-105.1220016
167,0,39.3697014,-105.0910034
168,0,39.3697014,-105.0599976
169,0,39.3697014,-105.0289993
170,0,39.3697014,-104.9990005
171,0,39.3697014,-104.9680023
172,0,39.3697014,-104.9369965
173,0,39.3697014,-104.9059982
174,0,39.3697014,-104.8750000
175,0,39.3697014,-104.8440018
176,0,39.3697014,-104.8130035
177,0,39.3697014,-104.7819977
178,0,39.3697014,-104.7509995
179,0,39.3697014,-104.7200012
180,0,39.3697014,-104.6890030
181,0,39.3697014,-104.6579971
182,0,39.3697014,-104.6269989
183,0,39.3697014,-104.5970001
184,0,39.3697014,-104.5660019
185,0,39.3697014,-104.5350037
186,0,39.3697014,-104.5039978
187,0,39.3697014,-104.4729996
188,0,39.3697014,-104.4420013
189,0,39.3697014,-104.4110031
190,0,39.3697014,-104.3799973
191,0,39.3697014,-104.3489990
192,0,39.3697014,-104.3180008
193,0,39.4006996,-105.7720032
194,0,39.4006996,-105.7409973
195,0,39.4006996,-105.7099991
196,0,39.4006996,-105.6790009
197,0,39.4006996,-105.6480026
198,0,39.4006996,-105.6169968
199,0,39.4006996,-105.5859985
200,0,39.4006996,-105.5550003
201,0,39.4006996,-105.5240021
202,0,39.4006996,-105.4929962
203,0,39.4006996,-105.4619980
204,0,39.4006996,-105.4319992
205,0,39.4006996,-105.4010010
206,0,39.4006996,-105.3700027
207,0,39.4006996,-105.3389969
208,0,39.4006996,-105.3079987
209,0,39.4006996,-105.2770004
210,0,39.4006996,-105.2460022
