,o3,site,latitude,longitude,randoms
o3_sim_62,18.761484,o3_sim_62,39.7296982,-104.8960037,6.36e-05
o3_sim_63,8.12199,o3_sim_63,39.7296982,-104.9990005,8.26e-05
o3_sim_64,19.391567,o3_sim_64,39.7296982,-105.1019974,3.56e-05
o3_sim_65,35.646294,o3_sim_65,39.7296982,-105.2050018,3.77e-05
o3_sim_66,30.99834,o3_sim_66,39.7296982,-105.3079987,9.33e-05
o3_sim_67,33.135998,o3_sim_67,39.7296982,-105.4110031,7.65e-05
o3_sim_68,30.16443,o3_sim_68,39.7296982,-105.5139999,3.5e-06
o3_sim_69,44.26198,o3_sim_69,39.7296982,-105.6169968,7.4e-06
o3_sim_70,39.28478,o3_sim_70,39.7296982,-105.7200012,9.8e-05
o3_sim_71,29.596512,o3_sim_71,39.8328018,-104.3799973,9.85e-05
o3_sim_72,29.287178,o3_sim_72,39.8328018,-104.4830017,3.65e-05
o3_sim_73,28.711222,o3_sim_73,39.8328018,-104.5859985,9.44e-05
o3_sim_74,20.57783,o3_sim_74,39.8328018,-104.6900024,6.74e-05
o3_sim_75,27.375105,o3_sim_75,39.8328018,-104.7929993,1.78e-05
o3_sim_76,16.214264,o3_sim_76,39.8328018,-104.8960037,5.7e-06
o3_sim_77,13.838581,o3_sim_77,39.8328018,-104.9990005,6.65e-05
o3_sim_78,25.675455,o3_sim_78,39.8328018,-105.1019974,3.85e-05
o3_sim_79,34.468548,o3_sim_79,39.8328018,-105.2050018,7.34e-05
o3_sim_80,33.684074,o3_sim_80,39.8328018,-105.3079987,3.47e-05
o3_sim_81,31.29121,o3_sim_81,39.8328018,-105.4110031,5.65e-05
o3_sim_82,39.953686,o3_sim_82,39.8328018,-105.5139999,9e-05
o3_sim_83,35.812134,o3_sim_83,39.8328018,-105.6169968,8.39e-05
o3_sim_84,43.508896,o3_sim_84,39.8328018,-105.7200012,7.59e-05
o3_sim_85,30.631672,o3_sim_85,39.9359016,-104.3799973,9.15e-05
o3_sim_86,31.127949,o3_sim_86,39.9359016,-104.4830017,3.35e-05
o3_sim_87,28.67704,o3_sim_87,39.9359016,-104.5859985,6.89e-05
o3_sim_88,27.765139,o3_sim_88,39.9359016,-104.6900024,6.53e-05
o3_sim_89,23.891644,o3_sim_89,39.9359016,-104.7929993,7.66e-05
o3_sim_90,22.310036,o3_sim_90,39.9359016,-104.8960037,2.01e-05
o3_sim_91,16.888748,o3_sim_91,39.9359016,-104.9990005,5.88e-05
o3_sim_92,21.33556,o3_sim_92,39.9359016,-105.1019974,8.42e-05
o3_sim_93,37.68097,o3_sim_93,39.9359016,-105.2050018,2.32e-05
o3_sim_94,32.67241,o3_sim_94,39.9359016,-105.3079987,7.26e-05
o3_sim_95,34.939453,o3_sim_95,39.9359016,-105.4110031,1.3e-06
o3_sim_96,34.039474,o3_sim_96,39.9359016,-105.5139999,1.54e-05
o3_sim_97,37.25667,o3_sim_97,39.9359016,-105.6169968,5.91e-05
o3_sim_98,45.352448,o3_sim_98,39.9359016,-105.7200012,8.49e-05
o3_sim_99,31.851414,o3_sim_99,40.0390015,-104.3799973,9.45e-05
o3_sim_100,33.161278,o3_sim_100,40.0390015,-104.4830017,8.86e-05
o3_sim_101,33.287495,o3_sim_101,40.0390015,-104.5859985,5.62e-05
o3_sim_102,31.934166,o3_sim_102,40.0390015,-104.6900024,8.19e-05
o3_sim_103,27.848083,o3_sim_103,40.0390015,-104.7929993,1.08e-05
