,o3,site,latitude,longitude,randoms
o3_sim_37,30.617933,o3_sim_37,39.5236015,-105.2050018,7.94e-05
o3_sim_38,33.623177,o3_sim_38,39.5236015,-105.3079987,1.89e-05
o3_sim_39,43.84368,o3_sim_39,39.5236015,-105.4110031,6.84e-05
o3_sim_40,48.084957,o3_sim_40,39.5236015,-105.5139999,8.23e-05
o3_sim_41,36.326004,o3_sim_41,39.5236015,-105.6169968,3.63e-05
o3_sim_42,36.483585,o3_sim_42,39.5236015,-105.7200012,8.54e-05
o3_sim_43,26.498917,o3_sim_43,39.6265984,-104.3799973,5.35e-05
o3_sim_44,24.143042,o3_sim_44,39.6265984,-104.4830017,9.27e-05
o3_sim_45,29.295341,o3_sim_45,39.6265984,-104.5859985,1.45e-05
o3_sim_46,24.880472,o3_sim_46,39.6265984,-104.6900024,5.42e-05
o3_sim_47,21.814981,o3_sim_47,39.6265984,-104.7929993,2.39e-05
o3_sim_48,21.580624,o3_sim_48,39.6265984,-104.8960037,1.42e-05
o3_sim_49,28.980984,o3_sim_49,39.6265984,-104.9990005,9.69e-05
o3_sim_50,41.049053,o3_sim_50,39.6265984,-105.1019974,7.47e-05
o3_sim_51,34.94847,o3_sim_51,39.6265984,-105.2050018,8.41e-05
o3_sim_52,23.850166,o3_sim_52,39.6265984,-105.3079987,3.65e-05
o3_sim_53,32.10241,o3_sim_53,39.6265984,-105.4110031,6.44e-05
o3_sim_54,37.61057,o3_sim_54,39.6265984,-105.5139999,7.49e-05
o3_sim_55,44.445045,o3_sim_55,39.6265984,-105.6169968,5.58e-05
o3_sim_56,39.498108,o3_sim_56,39.6265984,-105.7200012,7.21e-05
o3_sim_57,32.444355,o3_sim_57,39.7296982,-104.3799973,4.05e-05
o3_sim_58,32.478813,o3_sim_58,39.7296982,-104.4830017,3.83e-05
o3_sim_59,28.986097,o3_sim_59,39.7296982,-104.5859985,7.55e-05
o3_sim_60,28.223099,o3_sim_60,39.7296982,-104.6900024,3.59e-05
o3_sim_61,16.43766,o3_sim_61,39.7296982,-104.7929993,2.5e-06
o3_sim_62,27.213076,o3_sim_62,39.7296982,-104.8960037,1.98e-05
