,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1810,1810,2023-08-12 06:00:00,42.906284,40.0,47.62955,47.750479999999996,44.18114,44.68802,45.80360700000001,46.594925,48.3525,"39.6265984,-104.8960037",39.6265984,-104.8960037
2112,2112,2023-08-12 06:00:00,41.860915999999996,40.0,46.24241,46.019999999999996,41.887708,42.17682,43.05509,43.64083,45.38001,"39.6265984,-104.9990005",39.6265984,-104.9990005
2261,2261,2023-08-12 06:00:00,45.45241,44.0,50.30092,45.577344,42.936757,43.485317,44.911303,45.69465,47.293037000000005,"39.6265984,-105.1019974",39.6265984,-105.1019974
2329,2329,2023-08-12 06:00:00,49.480509999999995,48.0,51.02131,50.640903,48.922487000000004,49.588718,50.80112,52.567054,57.47761,"39.6265984,-105.2050018",39.6265984,-105.2050018
2141,2141,2023-08-12 06:00:00,30.991029,31.0,43.945953,32.009132,37.552389999999995,30.727416,32.393362,35.078239999999994,37.099630000000005,"39.6265984,-105.3079987",39.6265984,-105.3079987
2141,2141,2023-08-12 06:00:00,32.636683,31.0,46.089914,35.303697,41.93086,35.018769999999996,36.7581,40.12628,42.107183,"39.6265984,-105.4110031",39.6265984,-105.4110031
2294,2294,2023-08-12 06:00:00,41.945856,42.0,45.280486,47.91633,49.317479999999996,51.646054,52.880332,52.214789999999994,51.685219999999994,"39.6265984,-105.5139999",39.6265984,-105.5139999
2294,2294,2023-08-12 06:00:00,47.43811,42.0,53.665545,57.053957000000004,59.459597,61.62622,63.33338500000001,63.229209999999995,63.29601999999999,"39.6265984,-105.6169968",39.6265984,-105.6169968
2295,2295,2023-08-12 06:00:00,46.284106,42.0,52.212982999999994,55.75439,57.767656,59.974194000000004,61.227124,61.235767,62.213868,"39.6265984,-105.7200012",39.6265984,-105.7200012
1981,1981,2023-08-12 06:00:00,48.386239999999994,47.0,46.743100000000005,46.820566,43.260295,45.62977,46.392365999999996,46.43071,47.368309999999994,"39.7296982,-104.3799973",39.7296982,-104.3799973
1981,1981,2023-08-12 06:00:00,49.011720000000004,47.0,47.937747,48.324987,45.441500000000005,47.853284,48.618916,48.733387,49.679693,"39.7296982,-104.4830017",39.7296982,-104.4830017
1981,1981,2023-08-12 06:00:00,48.99035,47.0,47.388434,47.831945,44.542287,46.93236,47.723535,47.810197,48.564735999999996,"39.7296982,-104.5859985",39.7296982,-104.5859985
1981,1981,2023-08-12 06:00:00,48.600234,47.0,46.895877000000006,46.795085,42.934604,45.498863,46.241105,46.25432,47.020964,"39.7296982,-104.6900024",39.7296982,-104.6900024
1889,1889,2023-08-12 06:00:00,41.186858,41.0,40.703025,36.634017,38.193446,40.415403000000005,41.33601,42.382802999999996,44.188846,"39.7296982,-104.7929993",39.7296982,-104.7929993
1936,1936,2023-08-12 06:00:00,46.571426,42.0,45.012455,41.861415,41.47804,43.391276,44.46627,44.871576000000005,47.643713999999996,"39.7296982,-104.8960037",39.7296982,-104.8960037
1936,1936,2023-08-12 06:00:00,46.123605,42.0,44.367377,40.827226,40.239006,42.09538,43.14664,43.483786,46.406459999999996,"39.7296982,-104.9990005",39.7296982,-104.9990005
2245,2245,2023-08-12 06:00:00,47.928356,48.0,48.10507,47.387823000000004,45.36719,46.42931,47.469235999999995,48.160050000000005,50.910022,"39.7296982,-105.1019974",39.7296982,-105.1019974
2245,2245,2023-08-12 06:00:00,48.769715999999995,48.0,49.87316,49.924605,48.722590000000004,50.019180000000006,51.284620000000004,52.3568,55.474799999999995,"39.7296982,-105.2050018",39.7296982,-105.2050018
2057,2057,2023-08-12 06:00:00,32.697726,31.0,44.9803,35.605315,41.148387,36.00296,37.707770000000004,40.30943,42.30182,"39.7296982,-105.3079987",39.7296982,-105.3079987
2210,2210,2023-08-12 06:00:00,41.34268,42.0,43.687094,45.611143,47.291822999999994,48.432629999999996,49.115777,49.421847,49.760737,"39.7296982,-105.4110031",39.7296982,-105.4110031
2210,2210,2023-08-12 06:00:00,40.841453,42.0,43.132044,44.730864000000004,45.348532,46.051899999999996,46.903964,47.325886999999994,48.357659999999996,"39.7296982,-105.5139999",39.7296982,-105.5139999
2294,2294,2023-08-12 06:00:00,46.134535,42.0,52.850038000000005,57.490050000000004,60.274035,62.1827,67.035556,66.100754,67.13808,"39.7296982,-105.6169968",39.7296982,-105.6169968
2294,2294,2023-08-12 06:00:00,45.33599,42.0,51.048297,55.07312,57.279196,58.510687,60.508689999999994,60.838774,62.705375,"39.7296982,-105.7200012",39.7296982,-105.7200012
1684,1684,2023-08-12 06:00:00,47.638457,47.0,45.712844000000004,45.050904,41.357856,43.500118,44.043169999999996,43.98934,44.781561999999994,"39.8328018,-104.3799973",39.8328018,-104.3799973
1684,1684,2023-08-12 06:00:00,48.00332,47.0,46.295232999999996,45.677785,41.94998,44.094507,44.68613,44.551577,45.289062,"39.8328018,-104.4830017",39.8328018,-104.4830017
1981,1981,2023-08-12 06:00:00,48.482627,47.0,46.991060000000004,46.969592999999996,43.607578000000004,45.655843000000004,46.220753,46.17078,46.894666,"39.8328018,-104.5859985",39.8328018,-104.5859985
1981,1981,2023-08-12 06:00:00,48.480004,47.0,46.391945,46.327062000000005,42.678155000000004,44.906344000000004,45.533013,45.472164,46.294059999999995,"39.8328018,-104.6900024",39.8328018,-104.6900024
1889,1889,2023-08-12 06:00:00,41.116659999999996,41.0,41.217644,37.11752,38.59308,40.15775,40.78743,41.882545,44.295995999999995,"39.8328018,-104.7929993",39.8328018,-104.7929993
1889,1889,2023-08-12 06:00:00,40.436838,41.0,40.05467,35.103947000000005,36.447714999999995,37.85263,38.69522,39.842732,42.230044,"39.8328018,-104.8960037",39.8328018,-104.8960037
1889,1889,2023-08-12 06:00:00,40.634190000000004,41.0,40.196296,35.39591,36.927737,39.129659999999994,40.246557,41.455146,44.150155000000005,"39.8328018,-104.9990005",39.8328018,-104.9990005
2329,2329,2023-08-12 06:00:00,43.639187,41.0,42.9418,39.40701,40.94905,43.851268,44.807162,45.681275,47.922827,"39.8328018,-105.1019974",39.8328018,-105.1019974
1849,1849,2023-08-12 06:00:00,43.260994999999994,47.0,46.969034,50.492626,49.681813,52.065875,53.21353,54.77798,57.096407,"39.8328018,-105.2050018",39.8328018,-105.2050018
1849,1849,2023-08-12 06:00:00,43.377539999999996,47.0,47.43274,50.298702,49.28317,51.31376,52.924293999999996,55.720918000000005,60.428597,"39.8328018,-105.3079987",39.8328018,-105.3079987
2292,2292,2023-08-12 06:00:00,40.979013,42.0,43.317071999999996,44.658030000000004,44.83937,45.024756,45.792899999999996,46.211492,47.09192,"39.8328018,-105.4110031",39.8328018,-105.4110031
2292,2292,2023-08-12 06:00:00,41.68797300000001,42.0,44.720735,46.59567,47.012499999999996,47.547586,48.562,49.056656999999994,49.987935,"39.8328018,-105.5139999",39.8328018,-105.5139999
2292,2292,2023-08-12 06:00:00,46.340868,42.0,52.484120000000004,56.001134,57.698343,59.231598000000005,61.069824000000004,61.59903,63.03568,"39.8328018,-105.6169968",39.8328018,-105.6169968
2292,2292,2023-08-12 06:00:00,43.7543,42.0,48.146743,51.790792,53.141292,55.646658,59.90692,58.370363000000005,59.189882,"39.8328018,-105.7200012",39.8328018,-105.7200012
1683,1683,2023-08-12 06:00:00,46.811994000000006,47.0,42.700179999999996,41.009657,36.005028,37.891883,38.160313,37.863113,38.531795,"39.9359016,-104.3799973",39.9359016,-104.3799973
1683,1683,2023-08-12 06:00:00,46.738479999999996,47.0,42.845033,41.239067999999996,36.059174999999996,38.127179999999996,38.504414000000004,38.107976,38.6442,"39.9359016,-104.4830017",39.9359016,-104.4830017
1683,1683,2023-08-12 06:00:00,47.163032,47.0,43.787375000000004,42.976655,37.892703,40.199704000000004,40.63683399999999,40.445170000000005,41.152406,"39.9359016,-104.5859985",39.9359016,-104.5859985
1782,1782,2023-08-12 06:00:00,41.032918,41.0,40.85528,36.798377,37.973948,39.92389,40.694725,41.857418,43.91954,"39.9359016,-104.6900024",39.9359016,-104.6900024
1782,1782,2023-08-12 06:00:00,39.545869999999994,41.0,38.31685,32.712396,33.20346,34.63984,35.42362,36.632568,38.91357,"39.9359016,-104.7929993",39.9359016,-104.7929993
1782,1782,2023-08-12 06:00:00,40.589735000000005,41.0,40.45161,35.846382000000006,37.198370000000004,39.313430000000004,40.237173,41.42312,44.209678000000004,"39.9359016,-104.8960037",39.9359016,-104.8960037
1889,1889,2023-08-12 06:00:00,40.816195,41.0,40.516812,36.315374,37.8916,39.99778,40.81013,41.670213999999994,43.64092599999999,"39.9359016,-104.9990005",39.9359016,-104.9990005
1812,1812,2023-08-12 06:00:00,42.588048,47.0,46.219993,49.152475,47.390969999999996,49.005306999999995,49.95351,50.998206999999994,53.344764000000005,"39.9359016,-105.1019974",39.9359016,-105.1019974
1849,1849,2023-08-12 06:00:00,43.733742,47.0,47.846735,51.07996,50.40348,52.500155,53.843624999999996,55.298716,57.955003999999995,"39.9359016,-105.2050018",39.9359016,-105.2050018
1849,1849,2023-08-12 06:00:00,43.06677,47.0,46.546306,49.622479999999996,48.386354,50.58894,51.854458,54.044697,57.430156000000004,"39.9359016,-105.3079987",39.9359016,-105.3079987
2292,2292,2023-08-12 06:00:00,41.07923,42.0,43.61372,45.61498,46.5015,47.757212,48.44447,48.928960000000004,49.847660000000005,"39.9359016,-105.4110031",39.9359016,-105.4110031
2292,2292,2023-08-12 06:00:00,41.992374,42.0,44.946402000000006,47.008198,47.718912,48.437048000000004,49.784802000000006,50.544776,51.701743,"39.9359016,-105.5139999",39.9359016,-105.5139999
2292,2292,2023-08-12 06:00:00,44.54621,42.0,49.632034999999995,53.099897,54.54611,56.215104000000004,57.583245999999995,58.187097,59.655264,"39.9359016,-105.6169968",39.9359016,-105.6169968
2292,2292,2023-08-12 06:00:00,43.785654,42.0,48.205119999999994,50.80298,52.059836999999995,53.729991999999996,57.942774,57.562713,58.251232,"39.9359016,-105.7200012",39.9359016,-105.7200012
1547,1547,2023-08-12 06:00:00,45.256577,47.0,39.014418,36.513135000000005,30.38079,31.820755,31.803716,31.527260000000002,31.984634999999997,"40.0390015,-104.3799973",40.0390015,-104.3799973
1547,1547,2023-08-12 06:00:00,45.287006,47.0,39.286232999999996,37.08889,30.810999,32.37569,32.47581,32.07249,32.325484,"40.0390015,-104.4830017",40.0390015,-104.4830017
1683,1683,2023-08-12 06:00:00,46.21094,47.0,41.590024,40.145826,34.160744,36.020417,36.108695000000004,35.742633000000005,36.18135,"40.0390015,-104.5859985",40.0390015,-104.5859985
1782,1782,2023-08-12 06:00:00,39.204292,41.0,37.646882,31.462539999999997,31.23885,32.613337,33.124269999999996,34.275115,36.917843,"40.0390015,-104.6900024",40.0390015,-104.6900024
1782,1782,2023-08-12 06:00:00,39.46248,41.0,38.096078,32.364193,32.411307,33.873203999999994,34.3198,35.39271,37.692793,"40.0390015,-104.7929993",40.0390015,-104.7929993
1782,1782,2023-08-12 06:00:00,40.16534,41.0,39.417353000000006,34.440934999999996,34.998357,37.114456,37.730729999999994,38.64085,40.960256,"40.0390015,-104.8960037",40.0390015,-104.8960037
1782,1782,2023-08-12 06:00:00,41.073237,41.0,41.301563,37.11331,38.18433,40.313482,40.987945999999994,41.97245,44.44253,"40.0390015,-104.9990005",40.0390015,-104.9990005
2295,2295,2023-08-12 06:00:00,31.45902,24.0,35.040352,39.56121,41.278757,41.876744,42.700425,42.674575,42.429525000000005,"40.0390015,-105.1019974",40.0390015,-105.1019974
2295,2295,2023-08-12 06:00:00,31.677835,24.0,35.668600000000005,40.412918,42.376522,43.234612999999996,44.17872,44.136096,43.789505999999996,"40.0390015,-105.2050018",40.0390015,-105.2050018
2295,2295,2023-08-12 06:00:00,34.260243,24.0,39.532796000000005,44.572517,47.446884000000004,49.519180000000006,52.96804,52.884307,53.099090000000004,"40.0390015,-105.3079987",40.0390015,-105.3079987
2295,2295,2023-08-12 06:00:00,33.459567,24.0,37.805386000000006,42.720772,45.25758,46.879902,49.073864,49.691476,50.101303,"40.0390015,-105.4110031",40.0390015,-105.4110031
2292,2292,2023-08-12 06:00:00,43.990355,42.0,48.883133,51.785610000000005,52.916676,54.475397,56.519285,57.49773,58.43737,"40.0390015,-105.5139999",40.0390015,-105.5139999
2292,2292,2023-08-12 06:00:00,46.474278,42.0,52.321963,55.535577,56.948047,58.894206,60.754884000000004,61.03585,62.416345,"40.0390015,-105.6169968",40.0390015,-105.6169968
2292,2292,2023-08-12 06:00:00,43.517057,42.0,48.098549999999996,51.206525,52.457906,53.961635,57.40788,56.435140000000004,57.374269999999996,"40.0390015,-105.7200012",40.0390015,-105.7200012
1547,1547,2023-08-12 06:00:00,43.243143999999994,47.0,33.935364,29.877657,22.752706,23.557344,23.314152,23.107288,23.377584,"40.1421013,-104.3799973",40.1421013,-104.3799973
1547,1547,2023-08-12 06:00:00,45.353774,47.0,39.447725000000005,37.106227,30.983225,32.381278,32.363142999999994,32.053819999999995,32.205746,"40.1421013,-104.4830017",40.1421013,-104.4830017
1646,1646,2023-08-12 06:00:00,38.012657,41.0,35.202200000000005,27.642908000000002,26.877705000000002,27.759993,27.905552,28.916584,30.938843000000002,"40.1421013,-104.5859985",40.1421013,-104.5859985
1646,1646,2023-08-12 06:00:00,38.18263,41.0,35.594724,28.089577000000002,27.273873000000002,28.392764,28.426187,29.35063,31.651586,"40.1421013,-104.6900024",40.1421013,-104.6900024
1646,1646,2023-08-12 06:00:00,39.106064,41.0,37.24192,31.077325,30.919904000000002,32.250710000000005,32.835457,33.835240000000006,35.725523,"40.1421013,-104.7929993",40.1421013,-104.7929993
1646,1646,2023-08-12 06:00:00,39.575264,41.0,38.125705,32.465212,32.443729999999995,34.077037,34.66721,35.683479999999996,37.999514,"40.1421013,-104.8960037",40.1421013,-104.8960037
2287,2287,2023-08-12 06:00:00,27.911978,24.0,28.418803999999998,31.070695999999998,31.273447000000004,30.932246,31.410019999999996,31.218415,31.144178,"40.1421013,-104.9990005",40.1421013,-104.9990005
2287,2287,2023-08-12 06:00:00,29.452525,24.0,31.428136000000002,34.951635,35.73738,35.72608,36.289584,36.127680000000005,35.9083,"40.1421013,-105.1019974",40.1421013,-105.1019974
2287,2287,2023-08-12 06:00:00,30.929993999999997,24.0,34.478106000000004,38.90366,40.733146999999995,41.719165000000004,43.12629,43.223116999999995,42.940635,"40.1421013,-105.2050018",40.1421013,-105.2050018
2287,2287,2023-08-12 06:00:00,35.849012,24.0,42.06009,48.019501999999996,51.390885999999995,53.47583,56.55909,57.041413999999996,56.659937,"40.1421013,-105.3079987",40.1421013,-105.3079987
2295,2295,2023-08-12 06:00:00,32.88411,24.0,36.992464000000005,41.617338,43.39735,44.552162,46.195373,46.839084,47.186634999999995,"40.1421013,-105.4110031",40.1421013,-105.4110031
2295,2295,2023-08-12 06:00:00,36.864936,24.0,44.561934,51.450673,54.67152,56.54119,59.128854000000004,60.4299,61.251935,"40.1421013,-105.5139999",40.1421013,-105.5139999
2292,2292,2023-08-12 06:00:00,45.47252,42.0,50.879877,54.136182999999996,55.366713999999995,56.868176999999996,58.348946,58.972735,59.657924,"40.1421013,-105.6169968",40.1421013,-105.6169968
2292,2292,2023-08-12 06:00:00,43.987736,42.0,48.402265,51.420316,52.664567000000005,55.100854,59.15829,58.412507000000005,59.482086,"40.1421013,-105.7200012",40.1421013,-105.7200012
1547,1547,2023-08-12 06:00:00,42.61513,47.0,31.257614000000004,26.453184,19.126935,19.418482,19.165644,19.058995,19.107558,"40.2452011,-104.3799973",40.2452011,-104.3799973
1547,1547,2023-08-12 06:00:00,44.176713,47.0,36.430105999999995,33.45494,26.94359,27.912547999999997,27.748993,27.5509,27.734368999999997,"40.2452011,-104.4830017",40.2452011,-104.4830017
1646,1646,2023-08-12 06:00:00,37.203100000000006,41.0,33.758539999999996,25.164611999999998,23.668602,24.327676999999998,24.187896000000002,25.02387,28.216345,"40.2452011,-104.5859985",40.2452011,-104.5859985
1646,1646,2023-08-12 06:00:00,38.587224000000006,41.0,36.421094000000004,29.326591999999998,28.753797000000002,30.140173,30.00593,30.874731,33.661865,"40.2452011,-104.6900024",40.2452011,-104.6900024
1646,1646,2023-08-12 06:00:00,37.730556,41.0,34.65738,25.937414,24.71021,25.40295,25.527905999999998,26.4054,28.53176,"40.2452011,-104.7929993",40.2452011,-104.7929993
2127,2127,2023-08-12 06:00:00,26.689481,24.0,26.240486999999998,28.559698,28.413728,27.87295,28.101008,27.974064,27.911393,"40.2452011,-104.8960037",40.2452011,-104.8960037
2287,2287,2023-08-12 06:00:00,30.329373,24.0,33.17182,37.458279999999995,38.703269999999996,38.992416,39.71372,39.456356,39.065830000000005,"40.2452011,-104.9990005",40.2452011,-104.9990005
2287,2287,2023-08-12 06:00:00,31.058968999999998,24.0,34.304086,38.9847,40.828146000000004,41.620039999999996,42.90357,42.81666,42.373106,"40.2452011,-105.1019974",40.2452011,-105.1019974
2287,2287,2023-08-12 06:00:00,33.369206,24.0,38.11053,43.164022,45.828599999999994,47.504287,49.4805,49.681008,49.34677,"40.2452011,-105.2050018",40.2452011,-105.2050018
2287,2287,2023-08-12 06:00:00,33.951197,24.0,38.796768,43.82187,46.687063,48.52447,50.670125000000006,50.874896,50.83005,"40.2452011,-105.3079987",40.2452011,-105.3079987
2287,2287,2023-08-12 06:00:00,33.654917,24.0,38.13875,43.090884,45.535117,47.089808,49.12419,49.88282,50.031945,"40.2452011,-105.4110031",40.2452011,-105.4110031
2287,2287,2023-08-12 06:00:00,35.660908,24.0,41.70482,47.297447999999996,49.935654,51.267043,53.648222000000004,54.366298,55.09852,"40.2452011,-105.5139999",40.2452011,-105.5139999
2287,2287,2023-08-12 06:00:00,44.655167000000006,24.0,55.42306000000001,61.690113999999994,65.30624,68.34998,71.23111999999999,71.36737,71.40544,"40.2452011,-105.6169968",40.2452011,-105.6169968
2285,2285,2023-08-12 06:00:00,44.06338,42.0,47.684047,50.503068,51.107476999999996,52.345574,53.657446,54.272006999999995,54.620065000000004,"40.2452011,-105.7200012",40.2452011,-105.7200012
