,date,preds_0_Boulder,actual,preds_1_Boulder,preds_2_Boulder,preds_3_Boulder,preds_4_Boulder,preds_5_Boulder,site_name,lat,lon
73,2023-06-05 13:00:00+00:00,0.016026543,0.022,0.023506122,0.021874698,0.021101631,0.024013685,0.019071955,Boulder,40.070016,-105.220238
74,2023-06-05 14:00:00+00:00,0.025519013,0.028000000000000004,0.02043822,0.025645934,0.024452396,0.02384587,0.026105741,Boulder,40.070016,-105.220238
75,2023-06-05 15:00:00+00:00,0.030612534,0.034,0.028392255,0.024821874,0.028524777,0.027611881,0.027156807,Boulder,40.070016,-105.220238
76,2023-06-05 16:00:00+00:00,0.03599815,0.046,0.03291115,0.031338215,0.02880209,0.03158938,0.030916894,Boulder,40.070016,-105.220238
77,2023-06-05 17:00:00+00:00,0.047647722,0.051,0.03811162,0.035855725,0.03471836,0.032816615,0.034831576,Boulder,40.070016,-105.220238
78,2023-06-05 18:00:00+00:00,0.051476866,0.056999999999999995,0.047832258,0.04022566,0.038527656,0.037667025,0.036310993,Boulder,40.070016,-105.220238
79,2023-06-05 19:00:00+00:00,0.05765542,0.06299999999999999,0.051283546,0.04819512,0.042175382,0.040883325,0.040284988,Boulder,40.070016,-105.220238
80,2023-06-05 20:00:00+00:00,0.062121715,0.06,0.0556515,0.050100267,0.047583576,0.04295092,0.042039823,Boulder,40.070016,-105.220238
81,2023-06-05 21:00:00+00:00,0.05584265,0.062,0.058464266,0.052659683,0.04789587,0.04588908,0.042481396,Boulder,40.070016,-105.220238
82,2023-06-05 22:00:00+00:00,0.058365256,0.058,0.05184709,0.054004055,0.04918903,0.045459937,0.04395848,Boulder,40.070016,-105.220238
83,2023-06-05 23:00:00+00:00,0.053189386,0.056,0.05356833,0.048515692,0.050143022,0.04650716,0.043776523,Boulder,40.070016,-105.220238
84,2023-06-06 00:00:00+00:00,0.051297266,0.04900000000000001,0.04847006,0.048766423,0.044912916,0.04618627,0.043437727,Boulder,40.070016,-105.220238
85,2023-06-06 01:00:00+00:00,0.042704698,0.042,0.044955995,0.042821657,0.04304877,0.039932888,0.04097957,Boulder,40.070016,-105.220238
86,2023-06-06 02:00:00+00:00,0.036502346,0.042,0.0371654,0.038872648,0.03735682,0.037531413,0.035112172,Boulder,40.070016,-105.220238
87,2023-06-06 03:00:00+00:00,0.037650265,0.038,0.032536045,0.033044916,0.034345116,0.033111468,0.033251643,Boulder,40.070016,-105.220238
88,2023-06-06 04:00:00+00:00,0.033416063,0.033,0.033088688,0.029026128,0.02942508,0.030528251,0.029466862,Boulder,40.070016,-105.220238
89,2023-06-06 05:00:00+00:00,0.029093754,0.028999999999999998,0.029475078,0.029211398,0.025956232,0.02629211,0.027223906,Boulder,40.070016,-105.220238
