,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_6,52.33127,o3_sim_Evergreen_6,39.6203775,-105.33872,3.05e-05
o3_sim_Idaho Springs_6,49.633625,o3_sim_Idaho Springs_6,39.7924603,-105.49127,5.87e-05
o3_sim_Five Points_6,43.583996,o3_sim_Five Points_6,39.751119100000004,-104.987625,6.49e-05
o3_sim_Welby_6,50.154705,o3_sim_Welby_6,39.8380615,-104.94984,5.75e-05
o3_sim_Highlands Ranch_6,54.658295,o3_sim_Highlands Ranch_6,39.5678188,-104.957193,6.82e-05
o3_sim_Rocky Flats_6,61.302162,o3_sim_Rocky Flats_6,39.9127376,-105.188587,6.14e-05
o3_sim_Boulder_6,62.39138,o3_sim_Boulder_6,40.0699461,-105.220238,6.99e-05
o3_sim_Chatfield Reservoir_6,59.529198,o3_sim_Chatfield Reservoir_6,39.5344497,-105.070358,3.83e-05
o3_sim_Sunnyside_6,56.477013,o3_sim_Sunnyside_6,39.7794602,-105.00518,2.98e-05
o3_sim_East Plains_6,61.189346,o3_sim_East Plains_6,39.6385158,-104.569335,6.2e-06
o3_sim_South Table_6,63.62912,o3_sim_South Table_6,39.7436783,-105.177989,4.57e-05
o3_sim_Evergreen_6,52.33127,o3_sim_Evergreen_6,39.620317,-105.33872,9.1e-05
o3_sim_Idaho Springs_6,49.633625,o3_sim_Idaho Springs_6,39.7924949,-105.49127,2.41e-05
o3_sim_Five Points_6,43.583996,o3_sim_Five Points_6,39.7511273,-104.987625,5.67e-05
o3_sim_Welby_6,50.154705,o3_sim_Welby_6,39.838050599999995,-104.94984,6.84e-05
o3_sim_Highlands Ranch_6,54.658295,o3_sim_Highlands Ranch_6,39.5677966,-104.957193,9.04e-05
o3_sim_Rocky Flats_6,61.302162,o3_sim_Rocky Flats_6,39.9127209,-105.188587,7.81e-05
o3_sim_Boulder_6,62.39138,o3_sim_Boulder_6,40.0699969,-105.220238,1.91e-05
o3_sim_Chatfield Reservoir_6,59.529198,o3_sim_Chatfield Reservoir_6,39.5344174,-105.070358,7.06e-05
o3_sim_Sunnyside_6,56.477013,o3_sim_Sunnyside_6,39.779403800000004,-105.00518,8.62e-05
o3_sim_East Plains_6,61.189346,o3_sim_East Plains_6,39.6384582,-104.569335,6.38e-05
o3_sim_South Table_6,63.62912,o3_sim_South Table_6,39.7436716,-105.177989,5.24e-05
o3_sim_Evergreen_6,52.33127,o3_sim_Evergreen_6,39.620362799999995,-105.33872,4.52e-05
o3_sim_Idaho Springs_6,49.633625,o3_sim_Idaho Springs_6,39.7925093,-105.49127,9.7e-06
o3_sim_Five Points_6,43.583996,o3_sim_Five Points_6,39.7511177,-104.987625,6.63e-05
o3_sim_Welby_6,50.154705,o3_sim_Welby_6,39.8380988,-104.94984,2.02e-05
o3_sim_Highlands Ranch_6,54.658295,o3_sim_Highlands Ranch_6,39.567809499999996,-104.957193,7.75e-05
o3_sim_Rocky Flats_6,61.302162,o3_sim_Rocky Flats_6,39.9127796,-105.188587,1.94e-05
o3_sim_Boulder_6,62.39138,o3_sim_Boulder_6,40.069961500000005,-105.220238,5.45e-05
o3_sim_Chatfield Reservoir_6,59.529198,o3_sim_Chatfield Reservoir_6,39.534465000000004,-105.070358,2.3e-05
o3_sim_Sunnyside_6,56.477013,o3_sim_Sunnyside_6,39.7794195,-105.00518,7.05e-05
o3_sim_East Plains_6,61.189346,o3_sim_East Plains_6,39.6384464,-104.569335,7.56e-05
o3_sim_South Table_6,63.62912,o3_sim_South Table_6,39.7436802,-105.177989,4.38e-05
o3_sim_140,47.808514,o3_sim_140,40.2452011,-105.7200012,3.1e-06
o3_sim_1,51.95375,o3_sim_1,39.3174019,-104.3799973,7.6e-06
o3_sim_2,57.61819,o3_sim_2,39.3174019,-104.4830017,4.04e-05
o3_sim_3,52.548912,o3_sim_3,39.3174019,-104.5859985,3.29e-05
o3_sim_4,52.896194,o3_sim_4,39.3174019,-104.6900024,5.88e-05
