,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,site_name,lat,lon
39,2023-05-03 22:00:00+00:00,0.060182493,0.0625,0.0582385,0.056640144,0.058542415,0.058001757,0.05730267,0.056294695,0.056517236,Idaho Springs,39.792519,-105.49127
40,2023-05-03 23:00:00+00:00,0.06282491,0.065,0.060443368,0.058796976,0.057416838,0.05905174,0.05858167,0.05795054,0.057017148,Idaho Springs,39.792519,-105.49127
41,2023-05-04 00:00:00+00:00,0.06441567,0.062000000000000006,0.062191706,0.06005914,0.058557697,0.05731313,0.05877959,0.058351886,0.057759475,Idaho Springs,39.792519,-105.49127
42,2023-05-04 01:00:00+00:00,0.05910855,0.056999999999999995,0.06149083,0.059668683,0.057949685,0.056696285,0.05560474,0.056929108,0.05653691,Idaho Springs,39.792519,-105.49127
43,2023-05-04 02:00:00+00:00,0.052877266,0.059000000000000004,0.054944605,0.056731008,0.055448983,0.054095894,0.05298891,0.051963028,0.053242225,Idaho Springs,39.792519,-105.49127
44,2023-05-04 03:00:00+00:00,0.055334292,0.056,0.0489822,0.05056386,0.051882856,0.05081006,0.04960246,0.048630588,0.047781497,Idaho Springs,39.792519,-105.49127
45,2023-05-04 04:00:00+00:00,0.053112105,0.053,0.052430052,0.047319267,0.04865055,0.049844474,0.04888062,0.047864888,0.047089174,Idaho Springs,39.792519,-105.49127
46,2023-05-04 05:00:00+00:00,0.05181473,0.051,0.051926836,0.05136465,0.047062542,0.048159774,0.04909891,0.04836054,0.047591582,Idaho Springs,39.792519,-105.49127
47,2023-05-04 06:00:00+00:00,0.050748404,0.05,0.051552303,0.051645152,0.051181123,0.047680974,0.04853106,0.04925835,0.048663378,Idaho Springs,39.792519,-105.49127
48,2023-05-04 07:00:00+00:00,0.049748782,0.052,0.05047821,0.051142577,0.051217932,0.050845787,0.048119567,0.048769295,0.049347013,Idaho Springs,39.792519,-105.49127
