,o3,site,latitude,longitude,randoms
o3_sim_105,33.034145,o3_sim_105,40.0390015,-104.9990005,8.79e-05
o3_sim_106,31.121403,o3_sim_106,40.0390015,-105.1019974,8.65e-05
o3_sim_107,27.37616,o3_sim_107,40.0390015,-105.2050018,8.91e-05
o3_sim_108,35.961628,o3_sim_108,40.0390015,-105.3079987,1.2e-06
o3_sim_109,34.12694,o3_sim_109,40.0390015,-105.4110031,5.89e-05
o3_sim_110,40.47196,o3_sim_110,40.0390015,-105.5139999,4.44e-05
o3_sim_111,43.158573,o3_sim_111,40.0390015,-105.6169968,9.06e-05
o3_sim_112,42.3965,o3_sim_112,40.0390015,-105.7200012,3e-05
o3_sim_113,36.913727,o3_sim_113,40.1421013,-104.3799973,6.85e-05
o3_sim_114,37.525097,o3_sim_114,40.1421013,-104.4830017,3.82e-05
o3_sim_115,36.425785,o3_sim_115,40.1421013,-104.5859985,3.14e-05
o3_sim_116,36.96921,o3_sim_116,40.1421013,-104.6900024,6.03e-05
o3_sim_117,35.501842,o3_sim_117,40.1421013,-104.7929993,9.27e-05
o3_sim_118,36.216427,o3_sim_118,40.1421013,-104.8960037,3.32e-05
o3_sim_119,31.118874,o3_sim_119,40.1421013,-104.9990005,5.55e-05
o3_sim_120,34.1595,o3_sim_120,40.1421013,-105.1019974,9.63e-05
o3_sim_121,35.613487,o3_sim_121,40.1421013,-105.2050018,6.35e-05
o3_sim_122,47.708702,o3_sim_122,40.1421013,-105.3079987,4.77e-05
o3_sim_123,41.018173,o3_sim_123,40.1421013,-105.4110031,8.05e-05
o3_sim_124,40.5184,o3_sim_124,40.1421013,-105.5139999,5.67e-05
o3_sim_125,38.09846,o3_sim_125,40.1421013,-105.6169968,1.12e-05
o3_sim_126,42.443127,o3_sim_126,40.1421013,-105.7200012,5.53e-05
o3_sim_127,40.777252,o3_sim_127,40.2452011,-104.3799973,8.73e-05
o3_sim_128,38.846,o3_sim_128,40.2452011,-104.4830017,8.2e-05
o3_sim_129,38.14396,o3_sim_129,40.2452011,-104.5859985,7.84e-05
o3_sim_130,36.502926,o3_sim_130,40.2452011,-104.6900024,1.66e-05
o3_sim_131,36.763588,o3_sim_131,40.2452011,-104.7929993,6.64e-05
o3_sim_132,38.905556,o3_sim_132,40.2452011,-104.8960037,6.32e-05
o3_sim_133,37.007637,o3_sim_133,40.2452011,-104.9990005,1.8e-06
o3_sim_134,36.586594,o3_sim_134,40.2452011,-105.1019974,8.99e-05
o3_sim_135,40.646458,o3_sim_135,40.2452011,-105.2050018,9.94e-05
o3_sim_136,40.051643,o3_sim_136,40.2452011,-105.3079987,9.61e-05
o3_sim_137,35.76554,o3_sim_137,40.2452011,-105.4110031,5.01e-05
o3_sim_138,42.81408,o3_sim_138,40.2452011,-105.5139999,8.71e-05
o3_sim_139,46.63734,o3_sim_139,40.2452011,-105.6169968,7.18e-05
