,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,preds_8_Five Points,preds_9_Five Points,preds_10_Five Points,preds_11_Five Points,preds_12_Five Points,preds_13_Five Points,preds_14_Five Points,preds_15_Five Points,preds_16_Five Points,preds_17_Five Points,preds_18_Five Points,preds_19_Five Points,preds_20_Five Points,preds_21_Five Points,preds_22_Five Points,preds_23_Five Points,site_name,lat,lon
23,2023-06-04 05:00:00+00:00,0.037646685,0.042,0.0316896,0.028637838,0.027812999,0.02724319,0.027308855,0.026280023,0.024296561,0.023632491,0.023524858,0.023536107,0.02308421,0.023127973,0.022574935,0.022589328,0.022622814,0.022454713,0.022564655,0.022242466,0.022392673,0.022541221,0.022430522,0.022273086,0.021623727,Five Points,39.751184,-104.987625
24,2023-06-04 06:00:00+00:00,0.03735356,0.041,0.033142902,0.028360238,0.025978493,0.02531234,0.02485776,0.024911,0.02406649,0.022400891,0.021840436,0.021748839,0.021758465,0.021371147,0.021408774,0.020934159,0.0209465,0.020976443,0.020814845,0.020928746,0.02057961,0.020746335,0.020898841,0.020789018,0.020636827,Five Points,39.751184,-104.987625
25,2023-06-04 07:00:00+00:00,0.035993863,0.04900000000000001,0.03246778,0.02900555,0.02519909,0.023271346,0.022745093,0.022380728,0.022423921,0.021714384,0.020289889,0.019805983,0.01972639,0.019734785,0.019398184,0.019430675,0.019025808,0.019036131,0.019061625,0.018918214,0.01902563,0.018683976,0.018852305,0.018997943,0.018896695,Five Points,39.751184,-104.987625
26,2023-06-04 08:00:00+00:00,0.04425984,0.038,0.031251356,0.028335907,0.025561877,0.022467231,0.02095473,0.02053771,0.02024653,0.0202824,0.019672336,0.018423507,0.017995998,0.017925562,0.017932981,0.017638832,0.017666703,0.017329317,0.017337523,0.017357627,0.01724235,0.017334688,0.017033951,0.017187431,0.017312558,Five Points,39.751184,-104.987625
27,2023-06-04 09:00:00+00:00,0.031583954,0.034,0.038095705,0.026828863,0.024487615,0.022221914,0.019804372,0.01861307,0.01828333,0.018042961,0.018073713,0.017528329,0.016403185,0.01601865,0.01595567,0.01596224,0.01570705,0.015730457,0.015459484,0.015465623,0.0154804755,0.015392759,0.015468929,0.0152278505,0.015349642,Five Points,39.751184,-104.987625
28,2023-06-04 10:00:00+00:00,0.028796785,0.034,0.026444837,0.03201019,0.022690415,0.02080612,0.019069256,0.017213231,0.016293844,0.016028058,0.015825998,0.01585303,0.015358505,0.0143580455,0.014024033,0.013970717,0.013976156,0.013772576,0.013790522,0.013591684,0.013596084,0.0136081865,0.013522578,0.013601675,0.013383912,Five Points,39.751184,-104.987625
29,2023-06-04 11:00:00+00:00,0.028954152,0.037,0.023951812,0.022103563,0.026523426,0.018932957,0.017526664,0.016226584,0.01483362,0.014107208,0.013888088,0.01371308,0.013737269,0.013289673,0.012444549,0.01218095,0.012141394,0.012145228,0.012009819,0.012021579,0.01188271,0.011886855,0.011903228,0.011756181,0.011886772,Five Points,39.751184,-104.987625
30,2023-06-04 12:00:00+00:00,0.03163699,0.034,0.023878193,0.02015726,0.018844562,0.022207616,0.016621314,0.015602919,0.014651153,0.01356631,0.01297217,0.012783351,0.012626858,0.012648904,0.012245526,0.0115780905,0.011396935,0.011373236,0.011375292,0.011307221,0.011314442,0.01118063,0.011187626,0.011219797,0.010913075,Five Points,39.751184,-104.987625
31,2023-06-04 13:00:00+00:00,0.029473726,0.037,0.02726224,0.021671273,0.01914737,0.018209916,0.0205835,0.016548261,0.015799485,0.015043977,0.014130337,0.013605947,0.013433274,0.013286849,0.013307593,0.012935753,0.012411718,0.012295946,0.01228382,0.01228474,0.012244759,0.012253064,0.012017533,0.012031979,0.012095323,Five Points,39.751184,-104.987625
32,2023-06-04 14:00:00+00:00,0.034358714,0.036,0.027568804,0.02603056,0.022263383,0.02046698,0.019805532,0.021531677,0.018539988,0.017937995,0.017291004,0.016464569,0.015978118,0.015814085,0.015673032,0.015693111,0.015335417,0.014872642,0.0147807365,0.014771219,0.014772169,0.014702949,0.014718512,0.0142924,0.014317894,Five Points,39.751184,-104.987625
33,2023-06-04 15:00:00+00:00,0.03477072,0.042,0.03327694,0.028694691,0.027675543,0.024975354,0.023704983,0.023223432,0.024486845,0.022180496,0.021691663,0.021137385,0.020403562,0.01996205,0.019810138,0.019677209,0.019696416,0.019346265,0.018859724,0.01874504,0.018728267,0.018730437,0.018583305,0.018609708,0.017957075,Five Points,39.751184,-104.987625
34,2023-06-04 16:00:00+00:00,0.04102959,0.042,0.03455924,0.033554688,0.030462762,0.02971055,0.027734742,0.026791899,0.026443075,0.027399842,0.02559974,0.02520428,0.02474124,0.024111904,0.0237262,0.023591168,0.023470681,0.023488449,0.023151796,0.022614785,0.022460293,0.0224333,0.02243692,0.022216009,0.022251274,Five Points,39.751184,-104.987625
35,2023-06-04 17:00:00+00:00,0.040306777,0.039,0.039421972,0.034952622,0.034258112,0.031908374,0.031345014,0.029847864,0.029161185,0.028904546,0.029634913,0.02820593,0.02788424,0.027497377,0.026961356,0.026627911,0.026509672,0.026402222,0.026418405,0.026099825,0.025525229,0.025338057,0.02530306,0.025307687,0.025038451,Five Points,39.751184,-104.987625
36,2023-06-04 18:00:00+00:00,0.03787845,0.042,0.039037067,0.038415786,0.035228815,0.034688868,0.032895155,0.032463826,0.031368937,0.030874373,0.030690435,0.031244704,0.030110344,0.029846855,0.029520608,0.029059036,0.0287672,0.028662367,0.02856531,0.028580235,0.028275665,0.02767072,0.027457993,0.02741743,0.027422762,Five Points,39.751184,-104.987625
37,2023-06-04 19:00:00+00:00,0.041395083,0.043,0.03776032,0.03856439,0.038117826,0.03561255,0.03519906,0.03382064,0.033505768,0.032725096,0.03238425,0.032255456,0.032676194,0.031764023,0.031545233,0.03126654,0.030864507,0.030606182,0.030512182,0.030423542,0.030437464,0.030143913,0.029517777,0.029288573,0.02924446,Five Points,39.751184,-104.987625
38,2023-06-04 20:00:00+00:00,0.041935798,0.044,0.040421158,0.037766807,0.038354523,0.038001347,0.036079492,0.035765424,0.034778744,0.03456347,0.034058392,0.03384815,0.033765215,0.034079503,0.033340644,0.03315828,0.032919098,0.03256706,0.03233637,0.03225099,0.03216844,0.032181762,0.031889908,0.03123291,0.030985348,Five Points,39.751184,-104.987625
39,2023-06-04 21:00:00+00:00,0.042596426,0.04700000000000001,0.04067594,0.039546963,0.03756915,0.038032755,0.037764546,0.03632794,0.036108255,0.03546472,0.035339054,0.03507992,0.034987275,0.034946207,0.03516314,0.034586687,0.03443934,0.03423858,0.033935543,0.033731952,0.03365503,0.033578675,0.03359138,0.033304233,0.032625616,Five Points,39.751184,-104.987625
40,2023-06-04 22:00:00+00:00,0.044578023,0.044,0.040358093,0.03886897,0.0379871,0.03635005,0.03672103,0.03650731,0.03541659,0.035259485,0.034845557,0.034778662,0.034675032,0.034655873,0.034639407,0.034805357,0.03430527,0.034174353,0.03399051,0.033708032,0.03351471,0.033440653,0.03336596,0.033378564,0.033086836,Five Points,39.751184,-104.987625
41,2023-06-04 23:00:00+00:00,0.04079688,0.043,0.04138265,0.03794754,0.036746882,0.03600081,0.034653053,0.034958337,0.034787685,0.033950564,0.03383845,0.033581812,0.033550274,0.03352772,0.033538055,0.033527404,0.03369795,0.033167735,0.033029445,0.032835387,0.032537866,0.032333985,0.032256313,0.032178957,0.032191973,Five Points,39.751184,-104.987625
42,2023-06-05 00:00:00+00:00,0.040177397,0.046,0.038083218,0.038546573,0.035817057,0.034825824,0.03422154,0.033128712,0.033370744,0.033237163,0.03260843,0.03253211,0.032384217,0.032374464,0.032386802,0.03240158,0.03238684,0.03258314,0.03198867,0.031834908,0.031622045,0.031299286,0.031080373,0.030998606,0.030919319,Five Points,39.751184,-104.987625
43,2023-06-05 01:00:00+00:00,0.042223494,0.044,0.036530785,0.034961745,0.035322726,0.033066947,0.03226628,0.031768396,0.030879958,0.031077823,0.030968029,0.030468846,0.030410782,0.030313715,0.0303101,0.030321086,0.030324152,0.030301288,0.030523203,0.02987043,0.02970037,0.02946692,0.029114697,0.028877523,0.028790537,Five Points,39.751184,-104.987625
44,2023-06-05 02:00:00+00:00,0.038431548,0.038,0.036662523,0.032315522,0.031179842,0.031465806,0.029718027,0.029072724,0.02867449,0.02795346,0.028115638,0.028024463,0.027602727,0.027553862,0.027460622,0.027451256,0.027423128,0.027395386,0.027357345,0.027614763,0.026894145,0.026705999,0.02645324,0.02607828,0.02583011,Five Points,39.751184,-104.987625
45,2023-06-05 03:00:00+00:00,0.03291646,0.024000000000000004,0.033327546,0.03197938,0.028731102,0.027851652,0.028073883,0.026682178,0.02616829,0.025846444,0.0252643,0.025395999,0.025320437,0.024970654,0.024929333,0.02484277,0.02482911,0.02477291,0.024722174,0.024673365,0.024951557,0.02419778,0.024000509,0.023740599,0.023361092,Five Points,39.751184,-104.987625
46,2023-06-05 04:00:00+00:00,0.021103477,0.021,0.029115953,0.029428078,0.028399669,0.025813121,0.02511976,0.025299536,0.024172502,0.023748027,0.02348265,0.02300254,0.023111327,0.023047987,0.022753686,0.02271842,0.022636343,0.022619084,0.02253878,0.022467904,0.02240944,0.022706669,0.021925284,0.02172148,0.021458749,Five Points,39.751184,-104.987625
47,2023-06-05 05:00:00+00:00,0.020410862,0.015,0.020499235,0.026279286,0.026516458,0.025694069,0.023662748,0.023107897,0.023251377,0.022336762,0.021991013,0.021774469,0.021384817,0.021473357,0.021420768,0.021173192,0.021142112,0.021057675,0.021034848,0.020925034,0.020831363,0.02076281,0.021076674,0.020281842,0.020076895,Five Points,39.751184,-104.987625
48,2023-06-05 06:00:00+00:00,0.014969826,0.012,0.019554473,0.019616814,0.023930892,0.024121456,0.023471415,0.0218349,0.021385984,0.02150371,0.020749586,0.02046252,0.020283418,0.019963013,0.02003602,0.01999181,0.019779922,0.019751748,0.019663133,0.019635012,0.019498482,0.019384598,0.019307626,0.019631557,0.01884052,Five Points,39.751184,-104.987625
49,2023-06-05 07:00:00+00:00,0.012587216,0.007000000000000001,0.015010115,0.01818956,0.01823558,0.021685619,0.02183595,0.021314973,0.01999507,0.019620635,0.01971892,0.019083874,0.018841583,0.018691234,0.018424453,0.01848508,0.018447893,0.018268324,0.018243419,0.018156532,0.01812594,0.017975295,0.017850358,0.017769879,0.018087614,Five Points,39.751184,-104.987625
