,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,preds_8_Idaho Springs,preds_9_Idaho Springs,preds_10_Idaho Springs,preds_11_Idaho Springs,preds_12_Idaho Springs,preds_13_Idaho Springs,preds_14_Idaho Springs,preds_15_Idaho Springs,preds_16_Idaho Springs,preds_17_Idaho Springs,preds_18_Idaho Springs,preds_19_Idaho Springs,preds_20_Idaho Springs,preds_21_Idaho Springs,preds_22_Idaho Springs,preds_23_Idaho Springs,site_name,lat,lon
24,2023-06-04 06:00:00+00:00,0.033953708,0.033,0.034640566,0.033506103,0.03290864,0.030559119,0.029611366,0.028584292,0.028279549,0.028020361,0.027677601,0.027694779,0.027408034,0.027265394,0.026931167,0.02686974,0.027094647,0.027088296,0.027010908,0.027000468,0.026992917,0.026990736,0.027041843,0.027021615,0.027019614,Idaho Springs,39.792519,-105.49127
25,2023-06-04 07:00:00+00:00,0.03147451,0.028999999999999998,0.032369602,0.03292732,0.0319547,0.031475063,0.029667484,0.028928613,0.028126594,0.027882028,0.027678862,0.027407175,0.027420508,0.027197558,0.02708871,0.026836092,0.026791573,0.026955577,0.026950855,0.026892146,0.026883742,0.026877267,0.026875312,0.026923742,0.026902884,Idaho Springs,39.792519,-105.49127
26,2023-06-04 08:00:00+00:00,0.028106881,0.031999999999999994,0.030396441,0.031115191,0.031593908,0.030812778,0.030443741,0.029035252,0.028458534,0.027817795,0.027621632,0.027460126,0.027245687,0.027256025,0.027084408,0.027002366,0.026814325,0.026782965,0.02689838,0.026895013,0.026851727,0.02684514,0.026839763,0.026837997,0.026887614,Idaho Springs,39.792519,-105.49127
27,2023-06-04 09:00:00+00:00,0.031084996,0.031999999999999994,0.027552765,0.029399708,0.030021824,0.030412499,0.029802402,0.02951005,0.028392049,0.027923815,0.02739901,0.027235111,0.02710304,0.026926873,0.026935194,0.026797088,0.026731962,0.026581502,0.026556639,0.0266476,0.026644945,0.026608441,0.026602695,0.026597783,0.026595982,Idaho Springs,39.792519,-105.49127
28,2023-06-04 10:00:00+00:00,0.030848362,0.031000000000000003,0.03000088,0.027097696,0.0286898,0.029198771,0.02950418,0.029019387,0.028785108,0.027859872,0.027464537,0.027008034,0.026862482,0.026744327,0.026584247,0.02659187,0.026462894,0.026400322,0.026246546,0.026217382,0.02632611,0.026323069,0.026279392,0.026272384,0.026267497,Idaho Springs,39.792519,-105.49127
29,2023-06-04 11:00:00+00:00,0.02998909,0.035,0.029848522,0.029144598,0.026663186,0.027970383,0.028371181,0.028618822,0.028214915,0.028009504,0.027166106,0.026789693,0.026340926,0.026193777,0.026069585,0.025897775,0.025906248,0.025759911,0.02568585,0.02549636,0.025455834,0.025611037,0.025606973,0.02555011,0.025542827,Idaho Springs,39.792519,-105.49127
30,2023-06-04 12:00:00+00:00,0.033763025,0.031000000000000003,0.028974459,0.028866436,0.02831047,0.026373947,0.02737548,0.027697472,0.027905094,0.027545178,0.027356042,0.026560063,0.026203092,0.025779,0.025642226,0.025530092,0.025380466,0.025387483,0.025271628,0.025216617,0.025083212,0.025056459,0.025163101,0.025160192,0.025114622,Idaho Springs,39.792519,-105.49127
31,2023-06-04 13:00:00+00:00,0.029329587,0.042,0.031958353,0.028462574,0.028383106,0.027971208,0.026519075,0.027320687,0.027586777,0.027764978,0.02745576,0.027295375,0.026645312,0.026367601,0.02605314,0.02595771,0.02589374,0.025818426,0.025821032,0.025784383,0.02577076,0.02573019,0.025720384,0.025790382,0.025786018,Idaho Springs,39.792519,-105.49127
32,2023-06-04 14:00:00+00:00,0.042532828,0.051,0.030821325,0.032659035,0.03017756,0.03012123,0.029826803,0.028729634,0.029337555,0.029542524,0.029677926,0.029448293,0.029333353,0.028886454,0.028702892,0.028498078,0.028436169,0.028404318,0.028368058,0.028368864,0.028354073,0.028344762,0.028288042,0.028267443,0.02842108,Idaho Springs,39.792519,-105.49127
33,2023-06-04 15:00:00+00:00,0.048578605,0.053000000000000005,0.040330917,0.031562593,0.03292495,0.031063912,0.031021893,0.030788826,0.029931752,0.030402094,0.030556833,0.030656626,0.030494146,0.030415846,0.030124592,0.030008616,0.02987849,0.029838055,0.02982505,0.029809494,0.029809456,0.029802168,0.029792136,0.029722035,0.029691769,Idaho Springs,39.792519,-105.49127
