,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,preds_6_Highlands Ranch,preds_7_Highlands Ranch,preds_8_Highlands Ranch,preds_9_Highlands Ranch,preds_10_Highlands Ranch,preds_11_Highlands Ranch,preds_12_Highlands Ranch,preds_13_Highlands Ranch,preds_14_Highlands Ranch,preds_15_Highlands Ranch,preds_16_Highlands Ranch,preds_17_Highlands Ranch,preds_18_Highlands Ranch,preds_19_Highlands Ranch,preds_20_Highlands Ranch,preds_21_Highlands Ranch,preds_22_Highlands Ranch,preds_23_Highlands Ranch,site_name,lat,lon
23,2023-05-03 22:00:00+00:00,0.05971752,0.064,0.054776747,0.052742407,0.048543073,0.044477563,0.043672472,0.043587517,0.04242746,0.04232682,0.042253133,0.042235415,0.042235427,0.04225188,0.042282917,0.04229074,0.042277414,0.042260103,0.042190883,0.042071387,0.041963395,0.04191638,0.041799072,0.041741222,0.041667067,Highlands Ranch,39.567887,-104.957193
24,2023-05-03 23:00:00+00:00,0.060761,0.065,0.055978376,0.0520643,0.050449323,0.047060914,0.043745495,0.04308961,0.043019243,0.042088304,0.042005338,0.041950718,0.041937243,0.041937355,0.041949794,0.04196979,0.041971058,0.04194822,0.041927565,0.04185168,0.041720573,0.041600462,0.0415488,0.04142356,0.041363835,Highlands Ranch,39.567887,-104.957193
25,2023-05-04 00:00:00+00:00,0.060815193,0.061000000000000006,0.056422614,0.05279475,0.049861364,0.0486203,0.045978796,0.043385006,0.042857263,0.04280138,0.042038698,0.041973613,0.041927584,0.04191676,0.041916713,0.04191964,0.041914206,0.041903045,0.041858897,0.04182944,0.04173081,0.041559283,0.041400187,0.041334666,0.041187644,Highlands Ranch,39.567887,-104.957193
26,2023-05-04 01:00:00+00:00,0.054303985,0.056999999999999995,0.054126687,0.051025353,0.048448786,0.04626229,0.04530901,0.04326214,0.04116128,0.04073172,0.04068392,0.040022727,0.039961036,0.039914798,0.03989765,0.039897203,0.03988143,0.03983968,0.039811566,0.039739694,0.039698385,0.039568134,0.03934046,0.039127886,0.03904333,Highlands Ranch,39.567887,-104.957193
27,2023-05-04 02:00:00+00:00,0.049998026,0.05500000000000001,0.0474996,0.047377802,0.045407664,0.04353194,0.041907843,0.04118146,0.039533667,0.03782834,0.037466593,0.03742518,0.036814936,0.036755886,0.03670398,0.03668051,0.036679592,0.036645178,0.03656615,0.03652151,0.03642262,0.03637002,0.036210466,0.0359341,0.03568026,Highlands Ranch,39.567887,-104.957193
28,2023-05-04 03:00:00+00:00,0.049516857,0.053000000000000005,0.045052383,0.043297905,0.043215673,0.04169248,0.040198974,0.03887715,0.03825995,0.03684512,0.03536417,0.035049316,0.03501259,0.03446625,0.034412153,0.034363255,0.034339294,0.034338288,0.03429851,0.034207072,0.034156047,0.034046587,0.033989895,0.03382229,0.033539355,Highlands Ranch,39.567887,-104.957193
29,2023-05-04 04:00:00+00:00,0.048576068,0.05500000000000001,0.045455012,0.042217724,0.04099123,0.040926486,0.039661434,0.038425345,0.0372887,0.036753554,0.035517935,0.03423334,0.033961415,0.033929735,0.033457607,0.033411186,0.033368453,0.033346757,0.033345785,0.033305064,0.033208195,0.033153556,0.033038203,0.03297991,0.032813292,Highlands Ranch,39.567887,-104.957193
30,2023-05-04 05:00:00+00:00,0.05072602,0.056,0.04491747,0.042576946,0.040222127,0.039249025,0.03919615,0.038156047,0.03711156,0.03613987,0.035678,0.034612224,0.03351007,0.033277992,0.033250965,0.032848693,0.032809157,0.032772217,0.032752696,0.03275177,0.0327109,0.0326104,0.032553144,0.0324342,0.03237577,Highlands Ranch,39.567887,-104.957193
31,2023-05-04 06:00:00+00:00,0.05178549,0.054,0.04692168,0.042513136,0.040784754,0.038913615,0.038121425,0.038077906,0.037201732,0.036311436,0.03547437,0.035075217,0.03415447,0.033202372,0.03300179,0.03297846,0.032630973,0.032596808,0.03256455,0.032547,0.03254613,0.032506417,0.03240709,0.03235071,0.03223666,Highlands Ranch,39.567887,-104.957193
32,2023-05-04 07:00:00+00:00,0.04996932,0.056,0.047903117,0.044051614,0.040696993,0.039300874,0.037763424,0.037106894,0.037070088,0.036309626,0.03552722,0.034782972,0.03442546,0.03359517,0.03272583,0.032540757,0.0325192,0.032197945,0.032166198,0.03213607,0.0321192,0.032118343,0.03208017,0.031988848,0.031939514,Highlands Ranch,39.567887,-104.957193
